,日期,前收盘价,开盘价,收盘价,最高价,最低价,HO,OL,HCY,CYL,涨跌幅,AR,BR,MA5,MA10,MA20,MA60,MA120,MA250,5日涨跌幅,10日涨跌幅,20日涨跌幅,60日涨跌幅,120日涨跌幅,250日涨跌幅
386,2002-08-19,,,,,,,,,,,,,,,,,,,,,,,,
387,2002-08-20,,,,,,,,,,,,,,,,,,,,,,,,
388,2002-08-21,,,,,,,,,,,,,,,,,,,,,,,,
389,2002-08-22,,,,,,,,,,,,,,,,,,,,,,,,
390,2002-08-23,,,,,,,,,,,,,,,,,,,,,,,,
391,2002-08-26,,,,,,,,,,,,,,,,,,,,,,,,
392,2002-08-27,,,,,,,,,,,,,,,,,,,,,,,,
393,2002-08-28,,,,,,,,,,,,,,,,,,,,,,,,
394,2002-08-29,,,,,,,,,,,,,,,,,,,,,,,,
395,2002-08-30,,,,,,,,,,,,,,,,,,,,,,,,
