,日期,前收盘价,开盘价,收盘价,最高价,最低价,HO,OL,HCY,CYL,涨跌幅,AR,BR,MA5,MA10,MA20,MA60,MA120,MA250,5日涨跌幅,10日涨跌幅,20日涨跌幅,60日涨跌幅,120日涨跌幅,250日涨跌幅
3773,2016-08-01,6202.8923,6179.2019,6109.2782,6179.2019,6046.4023,0.0,132.79960000000028,-23.69040000000041,156.4900000000007,-0.015092007965381016,106.64045217316216,88.59176337820995,6255.844320000009,6337.149999999991,6351.0463050000135,6045.0572733333365,6000.682506666665,6548.7719200000065,-0.04673350546065447,-0.04722262133911104,-0.01967349794269979,-0.015238748353715081,0.09355405997601496,-0.2856308815763591
3774,2016-08-02,6109.2782,6100.7491,6168.5088,6168.6819,6099.2499,67.93279999999959,1.4992000000002008,59.403699999999844,10.028299999999945,0.009695187886516576,97.1580616834004,84.23531516142225,6190.651220000009,6310.807049999991,6345.9965150000135,6048.507603333336,6005.335301666665,6539.745659600007,-0.05019120639217867,-0.04095647186167817,-0.01610905588936018,0.03472619005084132,0.09952195060494917,-0.2678392055409745
3775,2016-08-03,6168.5088,6154.4741,6198.3885,6203.6148,6140.8294,49.140699999999924,13.64470000000074,35.10600000000068,27.679399999999987,0.004843909763085685,93.02389264621884,82.03751865763141,6184.471220000009,6288.853669999991,6341.046095000014,6056.086623333336,6009.309494999999,6533.362490000006,-0.004960438098187248,-0.034206366131917854,-0.015722115275916604,0.0791728976812347,0.08335304121116938,-0.20474151427509213
3776,2016-08-04,6198.3885,6194.2028,6238.2309,6245.3048,6174.2398,51.10199999999986,19.962999999999738,46.916299999999865,24.148699999999735,0.006427864274722195,96.93093730376887,81.70459656396082,6183.459740000009,6268.4058299999915,6336.968010000013,6064.408870000003,6014.093109999999,6527.716134000006,-0.0008100538941955282,-0.03173795223074882,-0.01290575579964448,0.08700885872458985,0.10134424877269876,-0.18452578210370685
3777,2016-08-05,6238.2309,6231.5257,6203.2872,6251.3982,6202.8622,19.87249999999949,28.663500000000568,13.167300000000068,35.36869999999999,-0.005601540013531636,98.01414698538213,80.56017090875982,6183.53872000001,6249.642009999991,6332.139705000014,6072.40681666667,6018.553504999999,6520.438100400005,6.366384920131196e-05,-0.029360098617330133,-0.015328309311583466,0.08384455533714652,0.09443254085830532,-0.22679231663336907
3778,2016-08-08,6203.2872,6191.6474,6290.7562,6290.8999,6152.5791,99.25250000000051,39.06829999999991,87.61270000000059,50.70809999999983,0.014100427270238303,103.79712230154887,82.76766266274727,6219.834320000009,6237.839319999992,6331.052575000014,6081.811828333337,6021.788689166665,6514.398805600005,0.029705309540495328,-0.018416429165780346,-0.0034443729319997285,0.09854275476339591,0.06577210625517615,-0.19355275112302872
3779,2016-08-09,6290.7562,6283.2888,6341.5497,6341.7233,6281.0723,58.43449999999939,2.216500000000451,50.967099999999846,9.683899999999994,0.008074307505351985,95.0186879578295,78.22158597853327,6254.442500000009,6222.546859999992,6328.372820000014,6092.265811666671,6024.873167499998,6508.856761200005,0.02805230658015767,-0.023546878921362424,-0.008380592101683182,0.10976634504665617,0.06198490095885689,-0.17930635410556117
3780,2016-08-10,6341.5497,6336.5359,6318.2681,6366.089,6314.5125,29.553100000000086,22.023400000000038,24.539300000000367,27.037199999999757,-0.003671279277366435,94.46144206646069,75.39736754611381,6278.418420000009,6231.4448199999915,6321.958055000015,6100.694575000004,6027.882647499998,6503.969012400005,0.01934044631116616,0.014284071126261066,-0.019901347747545595,0.08700595606848327,0.0606227444572518,-0.16205622411899046
3781,2016-08-11,6318.2681,6304.7771,6226.3129,6318.9779,6226.3129,14.200799999999617,78.46420000000035,0.7097999999996318,91.95520000000033,-0.014553861682444325,87.14239280515451,70.27306827615367,6276.03482000001,6229.747279999991,6310.4945650000145,6107.960763333338,6029.939284999999,6497.105883200004,-0.0019104775361873383,-0.0027189838406149747,-0.03551496598440296,0.07529284628043365,0.0412736555083284,-0.21603648115424257
3782,2016-08-12,6226.3129,6218.3533,6299.0915,6299.0915,6204.9613,80.73820000000069,13.391999999999825,72.77860000000055,21.351599999999962,0.011688876092301737,91.0592861522243,73.35563879135944,6295.19568000001,6239.3671999999915,6303.398345000014,6119.092410000004,6031.567359999998,6490.944899200005,0.01544411807984658,0.015508765161052374,-0.022034474406436355,0.11860698711304996,0.03200817206221296,-0.19647655174943024
