,日期,收盘价,基差,指数,贴水率
2099,2018-08-21,2449.2,-3.183300000000145,2452.3833,-0.0012980434176012147
2100,2018-08-22,2448.8,-1.3536999999996624,2450.1537,-0.0005524959515803693
2101,2018-08-23,2457.4,-3.6673000000000684,2461.0673,-0.001490125849057467
2102,2018-08-24,2476.2,4.201099999999769,2471.9989,0.0016994748662710851
2103,2018-08-27,2518.4,-3.9394999999999527,2522.3395,-0.001561843677268644
2104,2018-08-28,2508.2,-2.9452000000001135,2511.1452,-0.0011728513349208614
2105,2018-08-29,2506.2,2.7198999999995976,2503.4801,0.0010864476214528717
2106,2018-08-30,2484.8,5.590500000000247,2479.2095,0.002254952637120924
2107,2018-08-31,2470.8,-3.6765000000000327,2474.4765,-0.0014857688080691137
2108,2018-09-03,2462.4,-3.479699999999866,2465.8797,-0.0014111393998660464
2109,2018-09-04,2503.6,3.162399999999707,2500.4376,0.0012647386201518113
2110,2018-09-05,2435.0,-6.229899999999816,2441.2299,-0.002551951375001517
2111,2018-09-06,2415.2,-0.8328000000001339,2416.0328,-0.00034469730708959495
2112,2018-09-07,2442.4,4.722999999999956,2437.677,0.0019375003333091119
2113,2018-09-10,2420.6,7.174199999999928,2413.4258,0.0029726209109059527
2114,2018-09-11,2404.0,5.232199999999921,2398.7678,0.0021812031994092635
2115,2018-09-12,2390.2,8.811699999999746,2381.3883,0.0037002365384930067
2116,2018-09-13,2427.4,12.088500000000295,2415.3115,0.005004944496807263
2117,2018-09-14,2438.4,12.979200000000219,2425.4208,0.005351318830942746
2118,2018-09-17,2412.0,12.11929999999984,2399.8807,0.005049959358396373
2119,2018-09-18,2478.8,20.032300000000305,2458.7677,0.00814729264582429
2120,2018-09-19,2497.6,10.522899999999936,2487.0771,0.0042310308755606875
2121,2018-09-20,2502.0,14.577699999999822,2487.4223,0.005860564971215311
2122,2018-09-21,2599.0,25.396900000000187,2573.6031,0.009868227155927885
2123,2018-09-25,2568.6,20.808899999999994,2547.7911,0.008167427855447017
2124,2018-09-26,2602.0,19.233400000000074,2582.7666,0.007446820785122463
2125,2018-09-27,2595.2,19.75149999999985,2575.4485,0.007669149664611756
2126,2018-09-28,2618.6,11.932399999999689,2606.6676,0.004577645419768784
2127,2018-10-08,2502.0,15.177799999999934,2486.8222,0.006103291180205779
2128,2018-10-09,2514.4,22.73720000000003,2491.6628,0.009125311819881899
2129,2018-10-10,2514.0,19.94419999999991,2494.0558,0.007996693578387424
2130,2018-10-11,2403.0,12.497499999999945,2390.5025,0.005227980309579239
2131,2018-10-12,2462.0,17.86949999999979,2444.1305,0.007311188989294879
2132,2018-10-15,2431.8,19.320900000000165,2412.4791,0.008008732593787099
2133,2018-10-16,2435.8,20.307999999999993,2415.492,0.00840739691955096
2134,2018-10-17,2440.8,11.585500000000138,2429.2145,0.004769237134061293
2135,2018-10-18,2381.0,11.932099999999991,2369.0679,0.005036622209097507
2136,2018-10-19,2443.0,-3.3195999999998094,2446.3196,-0.0013569772322470906
2137,2018-10-22,2571.8,31.64790000000039,2540.1521,0.012459057077723965
2138,2018-10-23,2489.0,24.1882999999998,2464.8117,0.009813447412635942
2139,2018-10-24,2504.4,26.91170000000011,2477.4883,0.010862493275952144
2140,2018-10-25,2512.0,26.901299999999992,2485.0987,0.0108250428846146
2141,2018-10-26,2499.0,30.090400000000045,2468.9096,0.012187728542187226
2142,2018-10-29,2415.8,26.22340000000031,2389.5766,0.010974078001935703
2143,2018-10-30,2445.2,29.551500000000033,2415.6485,0.012233360938066956
2144,2018-10-31,2466.4,15.279300000000148,2451.1207,0.006233597553967925
2145,2018-11-01,2481.8,21.638100000000122,2460.1619,0.008795396758237789
2146,2018-11-02,2560.0,17.23199999999997,2542.768,0.006776866784543447
2147,2018-11-05,2534.8,23.21030000000019,2511.5897,0.009241278541634482
2148,2018-11-06,2525.4,25.720700000000306,2499.6793,0.010289599949881694
